8489.664 24872.062    2.529 100 1000 3357.365
8489.664 24872.062    1.571 100 1000 5403.882
8489.664 24872.062    1.038 100 1000 8181.067
8489.664 24872.062    0.783 100 1000 10838.790
8489.664 24872.062    0.654 100 1000 12975.399
8489.664 24872.062    0.508 100 1000 16724.696
8489.664 24872.062    0.456 100 1000 18605.563
8489.664 24872.062    0.388 100 1000 21855.978
8489.664 24872.062    0.383 100 1000 22186.765
8489.664 24872.062    0.374 100 1000 22680.119
8489.664 24872.062    0.370 100 1000 22939.068
8489.664 24872.062    0.357 100 1000 23751.069
