8489.664 24872.062   31.443 100 1000 270.000
8489.664 24872.062   16.152 100 1000 525.604
8489.664 24872.062   10.747 100 1000 789.923
8489.664 24872.062    8.537 100 1000 994.487
8489.664 24872.062    6.651 100 1000 1276.521
8489.664 24872.062    4.764 100 1000 1782.073
8489.664 24872.062    3.810 100 1000 2228.512
8489.664 24872.062    2.875 100 1000 2952.470
8489.664 24872.062    2.863 100 1000 2965.360
8489.664 24872.062    1.935 100 1000 4387.353
8489.664 24872.062    1.930 100 1000 4399.481
8489.664 24872.062    1.958 100 1000 4335.573
