8489.664 24872.062   29.107 100 1000 291.671
8489.664 24872.062   16.482 100 1000 515.091
8489.664 24872.062    5.069 100 1000 1674.664
8489.664 24872.062    3.884 100 1000 2185.763
8489.664 24872.062    3.244 100 1000 2617.345
8489.664 24872.062    2.421 100 1000 3507.108
8489.664 24872.062    1.716 100 1000 4945.935
8489.664 24872.062    1.563 100 1000 5432.300
8489.664 24872.062    1.437 100 1000 5908.038
8489.664 24872.062    1.436 100 1000 5913.061
8489.664 24872.062    1.391 100 1000 6101.853
8489.664 24872.062    1.411 100 1000 6015.078
