8489.664 24872.062    4.000 100 1000 2122.591
8489.664 24872.062    3.853 100 1000 2203.245
8489.664 24872.062    3.461 100 1000 2452.699
8489.664 24872.062    3.153 100 1000 2692.763
8489.664 24872.062    3.111 100 1000 2729.118
8489.664 24872.062    2.905 100 1000 2922.432
8489.664 24872.062    2.740 100 1000 3098.197
8489.664 24872.062    2.776 100 1000 3058.408
8489.664 24872.062    2.731 100 1000 3108.860
8489.664 24872.062    2.681 100 1000 3166.352
8489.664 24872.062    2.728 100 1000 3112.477
8489.664 24872.062    2.808 100 1000 3022.952
