8489.664 24872.062   28.029 100 1000 302.890
8489.664 24872.062   18.229 100 1000 465.718
8489.664 24872.062   15.026 100 1000 565.015
8489.664 24872.062   13.286 100 1000 639.010
8489.664 24872.062   12.303 100 1000 690.050
8489.664 24872.062   11.337 100 1000 748.814
8489.664 24872.062   10.356 100 1000 819.745
8489.664 24872.062   10.165 100 1000 835.175
8489.664 24872.062    9.776 100 1000 868.390
8489.664 24872.062    9.639 100 1000 880.788
8489.664 24872.062    9.379 100 1000 905.184
8489.664 24872.062    9.742 100 1000 871.413
