800.000 24872.062    6.859 100 1000 116.634
800.000 24872.062    6.267 100 1000 127.653
800.000 24872.062    4.409 100 1000 181.467
800.000 24872.062    3.649 100 1000 219.221
800.000 24872.062    3.270 100 1000 244.665
800.000 24872.062    2.330 100 1000 343.319
800.000 24872.062    1.811 100 1000 441.766
800.000 24872.062    1.611 100 1000 496.515
800.000 24872.062    1.316 100 1000 608.099
800.000 24872.062    1.248 100 1000 641.217
800.000 24872.062    1.517 100 1000 527.417
800.000 24872.062    1.473 100 1000 543.243
