800.000 24872.062    3.630 100 1000 220.386
800.000 24872.062    3.640 100 1000 219.780
800.000 24872.062    3.630 100 1000 220.386
800.000 24872.062    3.640 100 1000 219.780
800.000 24872.062    3.640 100 1000 219.780
800.000 24872.062    3.630 100 1000 220.386
800.000 24872.062    3.620 100 1000 220.994
800.000 24872.062    3.640 100 1000 219.780
800.000 24872.062    3.640 100 1000 219.780
800.000 24872.062    3.630 100 1000 220.386
800.000 24872.062    3.630 100 1000 220.386
800.000 24872.062    3.640 100 1000 219.780
