800.000 24872.062    3.650 100 1000 219.178
800.000 24872.062    3.640 100 1000 219.780
800.000 24872.062    3.660 100 1000 218.579
800.000 24872.062    3.650 100 1000 219.178
800.000 24872.062    3.650 100 1000 219.178
800.000 24872.062    3.650 100 1000 219.178
800.000 24872.062    3.640 100 1000 219.780
800.000 24872.062    3.650 100 1000 219.178
800.000 24872.062    3.640 100 1000 219.780
800.000 24872.062    3.650 100 1000 219.178
800.000 24872.062    3.650 100 1000 219.178
800.000 24872.062    3.650 100 1000 219.178
