8489.664 24872.062   32.542 100 1000 260.886
8489.664 24872.062   17.403 100 1000 487.836
8489.664 24872.062   11.991 100 1000 708.018
8489.664 24872.062    9.763 100 1000 869.602
8489.664 24872.062    7.913 100 1000 1072.876
8489.664 24872.062    6.020 100 1000 1410.244
8489.664 24872.062    5.020 100 1000 1691.333
8489.664 24872.062    4.062 100 1000 2089.995
8489.664 24872.062    4.040 100 1000 2101.469
8489.664 24872.062    3.129 100 1000 2713.601
8489.664 24872.062    3.118 100 1000 2722.443
8489.664 24872.062    3.131 100 1000 2711.194
