8489.664 24872.062    2.543 100 1000 3338.676
8489.664 24872.062    1.554 100 1000 5462.172
8489.664 24872.062    1.038 100 1000 8179.696
8489.664 24872.062    0.823 100 1000 10321.591
8489.664 24872.062    0.666 100 1000 12740.902
8489.664 24872.062    0.522 100 1000 16263.833
8489.664 24872.062    0.476 100 1000 17839.279
8489.664 24872.062    0.443 100 1000 19172.604
8489.664 24872.062    0.431 100 1000 19699.268
8489.664 24872.062    0.417 100 1000 20335.803
8489.664 24872.062    0.405 100 1000 20986.942
8489.664 24872.062    0.413 100 1000 20574.657
