2218000.000 40.500    0.000 10 221 inf
46127000.000 115.148    0.000 15 461 inf
78364000.000 249.562    0.020 20 783 3200000.000
1000125000.000 461.320    0.060 25 1000 2083333.333
1000512000.000 1736.438    0.260 40 1000 1969230.769
10001728000.000 5585.812    0.890 60 1000 1941573.034
10004096000.000 12922.688    2.480 80 1000 1651612.903
10008000000.000 24872.062    5.850 100 1000 1367521.368
100013824000.000 42558.938   10.160 120 1000 1360629.921
100064000000.000 193181.438   47.700 200 1000 1341719.078
