2218000.000 40.500    0.000 10 221 inf
46127000.000 115.148    0.000 15 461 inf
78364000.000 249.562    0.030 20 783 2133333.333
1000125000.000 461.320    0.080 25 1000 1562500.000
1000512000.000 1736.438    0.340 40 1000 1505882.353
10001728000.000 5585.812    1.170 60 1000 1476923.077
10004096000.000 12922.688    2.790 80 1000 1468100.358
10008000000.000 24872.062    5.620 100 1000 1423487.544
100013824000.000 42558.938    9.960 120 1000 1387951.807
100064000000.000 193181.438   47.110 200 1000 1358522.607
