0.000 0.633    0.000 1 2 inf
0.020 8.039    0.000 5 49 inf
0.332 40.500    0.000 10 160 inf
1.951 115.148    0.000 15 331 inf
7.155 249.562    0.010 20 560 715.546
19.935 461.320    0.050 25 844 398.699
88.906 1736.438    0.250 40 1000 355.622
285.994 5585.812    0.860 60 1000 332.551
661.642 12922.688    2.080 80 1000 318.097
1273.450 24872.062    4.020 100 1000 316.779
2179.018 42558.938    7.740 120 1000 281.527
9890.890 193181.438   43.460 200 1000 227.586
