26.748 249.562    0.010 20 314 2674.778
74.480 461.320    0.030 25 473 2482.682
672.719 1736.438    0.400 40 1135 1681.798
1941.515 3295.500    1.220 50 1726 1591.406
4640.723 5585.812    3.010 60 2434 1541.768
18499.499 12922.688   12.470 80 4194 1483.520
54367.808 24872.062   37.680 100 6404 1442.882
131525.502 42558.938   92.070 120 9054 1428.538
