1 228.223 
2 138.582 
3 100.348 
4 79.121 
5 65.395 
6 55.394 
7 47.487 
8 40.935 
9 35.376 
10 30.607 
11 26.495 
12 22.940 
13 19.865 
14 17.203 
15 14.898 
16 12.901 
17 11.173 
18 9.676 
19 8.380 
20 7.257 
21 6.285 
22 5.443 
23 4.713 
24 4.082 
25 3.535 
26 3.061 
27 2.651 
28 2.296 
29 1.988 
30 1.722 
31 1.491 
32 1.292 
33 1.119 
34 0.969 
35 0.839 
36 0.727 
37 0.629 
38 0.545 
39 0.472 
40 0.409 
41 0.354 
42 0.306 
43 0.265 
44 0.230 
45 0.199 
46 0.172 
47 0.149 
48 0.129 
49 0.112 
50 0.097 
51 0.084 
52 0.073 
53 0.063 
54 0.055 
55 0.047 
56 0.041 
57 0.035 
58 0.031 
59 0.027 
60 0.023 
61 0.020 
62 0.017 
63 0.015 
64 0.013 
65 0.011 
66 0.010 
